id,content,metadata,embedding
17.02,"Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infra-estrutura administrativa e congêneres.","{""codigo_item"":""17.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.03,"Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa.","{""codigo_item"":""17.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.04,"Recrutamento, agenciamento, seleção e colocação de mão-de-obra.","{""codigo_item"":""17.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.05,"Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço.","{""codigo_item"":""17.05"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.06,"Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários.","{""codigo_item"":""17.06"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.08,Franquia (franchising).,"{""codigo_item"":""17.08"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.09,"Perícias, laudos, exames técnicos e análises técnicas.","{""codigo_item"":""17.09"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.10,"Planejamento, organização e administração de feiras, exposições, congressos e congêneres.","{""codigo_item"":""17.10"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.11,"Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS).","{""codigo_item"":""17.11"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.12,"Administração em geral, inclusive de bens e negócios de terceiros.","{""codigo_item"":""17.12"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.13,Leilão e congêneres.,"{""codigo_item"":""17.13"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.14,Advocacia.,"{""codigo_item"":""17.14"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.15,"Arbitragem de qualquer espécie, inclusive jurídica.","{""codigo_item"":""17.15"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.16,Auditoria.,"{""codigo_item"":""17.16"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.17,Análise de Organização e Métodos.,"{""codigo_item"":""17.17"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.18,Atuária e cálculos técnicos de qualquer natureza.,"{""codigo_item"":""17.18"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.19,"Contabilidade, inclusive serviços técnicos e auxiliares.","{""codigo_item"":""17.19"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.20,Consultoria e assessoria econômica ou financeira.,"{""codigo_item"":""17.20"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.21,Estatística.,"{""codigo_item"":""17.21"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.22,Cobrança em geral.,"{""codigo_item"":""17.22"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.23,"Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring).","{""codigo_item"":""17.23"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.24,"Apresentação de palestras, conferências, seminários e congêneres.","{""codigo_item"":""17.24"",""fonte_legal"":""Lei Complementar 116/2003""}",
18,Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres.,"{""codigo_item"":""18"",""fonte_legal"":""Lei Complementar 116/2003""}",
18.01,Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres.,"{""codigo_item"":""18.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
19,"Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.","{""codigo_item"":""19"",""fonte_legal"":""Lei Complementar 116/2003""}",
19.01,"Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.","{""codigo_item"":""19.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
2,Serviços de pesquisas e desenvolvimento de qualquer natureza.,"{""codigo_item"":""2"",""fonte_legal"":""Lei Complementar 116/2003""}",
2.01,Serviços de pesquisas e desenvolvimento de qualquer natureza.,"{""codigo_item"":""2.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
20,"Serviços portuários, aeroportuários, ferroportuários, de terminais rodoviários, ferroviários e metroviários.","{""codigo_item"":""20"",""fonte_legal"":""Lei Complementar 116/2003""}",
20.01,"Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, serviços de praticagem, capatazia, armazenagem de qualquer natureza, serviços acessórios, movimentação de mercadorias, serviços de apoio marítimo, de movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres.","{""codigo_item"":""20.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
